Date,Account,Description,Payee,Amount,Category,Is_Tax_Deductible,Is_Reimbursable,Source,TransactionID,Reviewed,ReconciliationID,SourceTransactionID,Rule_Ignored,Duplicate_Ignored
2025-01-23,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,693.8,Income: Paycheck,False,False,usbank_6055_combined.csv,7c78cc3bccaba8607dfd18fda45cc778,True,,,False,False
2025-01-27,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-194.63,Transfer,False,False,usbank_6055_combined.csv,34b692846e4a7cb526aad715b92b880f,True,REC-ed245dcab6d9,,False,False
2025-01-28,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,1dcdf383d8e3650d2bd87f2ef55177fe,True,,,False,False
2025-01-28,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,13f7ff6c81e8f7b582eb0708637e9ebb,True,,,False,False
2025-02-03,US Bank Checking,ELECTRONIC DEPOSIT JPMorgan Chase,Electronic Deposit Jpmorgan Chase,24000.0,Misc Income: Ed's Dead,False,False,usbank_6055_combined.csv,21c1875b05d62ca42e4cde7b63d52cbc,True,,,False,False
2025-02-03,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,721.04,Income: Paycheck,False,False,usbank_6055_combined.csv,2e3a7522557a792d873d7a5eaa4a59cc,True,,,False,False
2025-02-03,US Bank Checking,ELECTRONIC WITHDRAWAL KMF,Electronic Withdrawal Kmf,-240.98,Auto & Transport: Car Loan,False,False,usbank_6055_combined.csv,db35f3e8611e56e30721faed2b4f2da2,True,,,False,False
2025-02-03,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-20000.0,Income: Investment,False,False,usbank_6055_combined.csv,26387494ee750af1c1dee1d111744d78,True,,,False,False
2025-02-03,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,05e8214f13c66afaeb21336d5f3a5a02,True,,,False,False
2025-02-03,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,77f56f01862ae7cd2b06e6648093e626,True,,,False,False
2025-02-04,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-26.79,Home: Utilities,False,False,usbank_6055_combined.csv,e965e93f7be78bc91b2a2194c7e9b7c7,True,,,False,False
2025-02-04,US Bank Checking,WEB AUTHORIZED PMT ST OF CA DMV,Web Authorized Pmt St Of Ca Dmv,-301.0,Auto & Transport: Fees & Registration,False,False,usbank_6055_combined.csv,9d22714a9c560b8ace0d39c3ec6de639,True,,,False,False
2025-02-06,US Bank Checking,MOBILE BANKING TRANSFER DEPOSIT 3692,Mobile Banking Transfer Deposit,27.17,Child-Related: Misc Expenses,False,False,usbank_6055_combined.csv,23a14a35b2717070fc20cddaa34f0b75,True,,,False,False
2025-02-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-550.15,Transfer,False,False,usbank_6055_combined.csv,533a43efd483588325ffae0508726618,True,REC-cca4d59f4e69,,False,False
2025-02-10,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-2754.79,Transfer,False,False,usbank_6055_combined.csv,57f9e9791fc3f0899f0651874c239b07,True,REC-377e2292e683,,False,False
2025-02-12,US Bank Checking,WEB AUTHORIZED PMT TARGET CARD SRVC,Web Authorized Pmt Target Card Srvc,-34.32,Transfer,False,False,usbank_6055_combined.csv,8d0832ed8940bdd20d9b5c7425b5cfc6,True,,,False,False
2025-02-13,US Bank Checking,ZELLE INSTANT PMT TO Johana Alvarez                USB6OP9n6k8l,Zelle Instant Pmt To Johana Alvarez,-50.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,3b87926b0885c3f8b0c8fc86649fcba6,True,,,False,False
2025-02-21,US Bank Checking,CUSTOMER WITHDRAWAL,Customer Withdrawal,-20.0,Cash Spending,False,False,usbank_6055_combined.csv,ede7fccd1db973b23b97e210d4abe1de,True,,,False,False
2025-02-24,US Bank Checking,ZELLE INSTANT PMT TO Johana Alvarez                USB6Dtnn8SwY,Zelle Instant Pmt To Johana Alvarez,-100.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,38b54eea112f0a0b0be4b65d821033e9,True,,,False,False
2025-02-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-205.68,Transfer,False,False,usbank_6055_combined.csv,5825b75fd0a88d1f5ca28ec392a2c7e1,True,REC-beef4f5e9c9d,,False,False
2025-02-27,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,740.28,Income: Paycheck,False,False,usbank_6055_combined.csv,08509eafa27fcaf01f564a8b6ee4412f,True,,,False,False
2025-02-27,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,50.0,Income: Paycheck,False,False,usbank_6055_combined.csv,0b05c2d0c200d351091ff05e7245db45,True,,,False,False
2025-02-27,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,2780218159b96538fae9dd7384243572,True,,,False,False
2025-02-27,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,6870ac1d7bc415e6d2fce4442b417604,True,,,False,False
2025-02-28,US Bank Checking,ELECTRONIC DEPOSIT JPMorgan Chase,Electronic Deposit Jpmorgan Chase,10000.0,Misc Income: Ed's Dead,False,False,usbank_6055_combined.csv,62c65535375d995c6776b5e89e57b0eb,True,,,False,False
2025-03-03,US Bank Checking,ELECTRONIC WITHDRAWAL KMF,Electronic Withdrawal Kmf,-240.98,Auto & Transport: Car Loan,False,False,usbank_6055_combined.csv,6e1d1ad2a2d7fe65ffb3d842b40de478,True,,,False,False
2025-03-03,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,41986f10f5c949560343a00f92ea9664,True,,,False,False
2025-03-03,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,3a0645345622f09d4cd91df6e0708273,True,,,False,False
2025-03-06,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-29.21,Home: Utilities,False,False,usbank_6055_combined.csv,5df01a1a530d0807f86dbc3b419e41c7,True,,,False,False
2025-03-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-465.92,Transfer,False,False,usbank_6055_combined.csv,18298f8c27ae8782e7143df7aa2d4172,True,REC-2e47a38dac8c,,False,False
2025-03-10,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-1682.56,Transfer,False,False,usbank_6055_combined.csv,17e40b1c231f7b3456799b2fdf68b6ca,True,REC-0f698d7b442f,,False,False
2025-03-12,US Bank Checking,WEB AUTHORIZED PMT TARGET CARD SRVC,Web Authorized Pmt Target Card Srvc,-58.72,Transfer,False,False,usbank_6055_combined.csv,91a643101e93e6da7d0ee59374dc5522,True,REC-f4b083317c58,,False,False
2025-03-20,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,2157.43,Income: Paycheck,False,False,usbank_6055_combined.csv,bdee41fc8c8f562b7b0eae4e41b67020,True,,,False,False
2025-03-20,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,486.12,Income: Paycheck,False,False,usbank_6055_combined.csv,3090e831359c5e87106af7e087cad494,True,,,False,False
2025-03-20,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,455.28,Income: Paycheck,False,False,usbank_6055_combined.csv,0b71ee7127214b611b8c03533fbcf925,True,,,False,False
2025-03-20,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,136.5,Income: Paycheck,False,False,usbank_6055_combined.csv,e844be553443692dcb55de8bc56d719b,True,,,False,False
2025-03-20,US Bank Checking,ATM WITHDRAWAL US BANK BURBANK BURBANK     CAUS1 1102,Atm Withdrawal Us Bank Burbank Burbank,-500.0,Cash Spending,False,False,usbank_6055_combined.csv,7f656cb4a4f0694dda499ff3d088c5de,True,,,False,False
2025-03-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-403.51,Transfer,False,False,usbank_6055_combined.csv,11f5a8f0a5820f27e7c416a130a41eac,True,REC-c5b28fe695e4,,False,False
2025-03-26,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,18a4ffc2d34877e7b2af43b4f7f8eac4,True,,,False,False
2025-03-26,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,3c5ab5419317d1c2380a3d6f18a73733,True,,,False,False
2025-03-31,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-900.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,6ae443dceca3e2a84a01f2df632b935f,True,,,False,False
2025-04-02,US Bank Checking,ELECTRONIC WITHDRAWAL KMF,Electronic Withdrawal Kmf,-240.98,Auto & Transport: Car Loan,False,False,usbank_6055_combined.csv,2d50d5fc4c1a8efe4372e6dbd6a154b8,True,,,False,False
2025-04-02,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,a3ea7119caed7676539e0808925ace52,True,,,False,False
2025-04-02,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,cb574bbd6146f4cec614b8a202611927,True,,,False,False
2025-04-04,US Bank Checking,WEB AUTHORIZED PMT SO CAL GAS,Web Authorized Pmt So Cal Gas,-33.0,Home: Utilities,False,False,usbank_6055_combined.csv,05f7833b8bda7d0192a5247805c411d9,True,,,False,False
2025-04-07,US Bank Checking,REAL TIME PAYMENT FROM 6055 20250405021000021P1BRJPC01920232308,Real Time Payment From,1168.4,NEEDS REVIEW,False,False,usbank_6055_combined.csv,d0dca44a1452d91ef48b16a2bb59ddda,True,,,False,False
2025-04-07,US Bank Checking,ZELLE INSTANT PMT TO FRANCOS MOTION PICTURE CATERI USBOB1Qnl772,Zelle Instant Pmt To Francos Motion Picture Cateri Usbob1Qnl772,-6.0,Food: Restaurants,False,False,usbank_6055_combined.csv,357bdce719b92f4d1d46e15926880397,True,,,False,False
2025-04-07,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2608.29,Income: Disability,False,False,usbank_6055_combined.csv,cdde9ea02f0318e3a8e263ecd9a97ad5,True,,,False,False
2025-04-07,US Bank Checking,DEPOSIT,Deposit,760.0,Misc Income: Misc Income,False,False,usbank_6055_combined.csv,2511b166ab40a41ac865ff8b66c8cbd4,True,,,False,False
2025-04-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-399.15,Transfer,False,False,usbank_6055_combined.csv,3e90e7ab1dcfe12ee7dfc982e1ce00ae,True,REC-2992ba9e47b7,,False,False
2025-04-07,US Bank Checking,ATM WITHDRAWAL US BANK TOLUCA LTOLUCA LAKE CAUS1 1102,Atm Withdrawal Us Bank Toluca Ltoluca Lake Caus1,-300.0,Cash Spending,False,False,usbank_6055_combined.csv,1d6d13e3534322a7c678ebce6d1f00c6,True,,,False,False
2025-04-08,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,1686.0,Income: Disability,False,False,usbank_6055_combined.csv,0abb20e5c528a63afa106eedcc57dfa6,True,,,False,False
2025-04-08,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-860.01,Transfer,False,False,usbank_6055_combined.csv,c2a7986f2f5a655d19d0eeddae8bdd30,True,REC-0b288f6600eb,,False,False
2025-04-14,US Bank Checking,WEB AUTHORIZED PMT ST OF CA DMV,Web Authorized Pmt St Of Ca Dmv,-45.0,Auto & Transport: Fees & Registration,False,False,usbank_6055_combined.csv,5ee8cb0f2973f7ec9818e67a4a4aea6b,True,,,False,False
2025-04-23,US Bank Checking,REAL TIME PAYMENT FROM 6055 20250423021000021P1BRJPC02480149619,Real Time Payment From,133.52,NEEDS REVIEW,False,False,usbank_6055_combined.csv,a43587526cf5f977ecbc8b5e6bad685e,True,,,False,False
2025-04-24,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,5fe2dd404253f63d7d627bbcbb0b5c1e,True,,,False,False
2025-04-24,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,cc7403927e1839b4f60241968cdb8243,True,,,False,False
2025-04-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-553.98,Transfer,False,False,usbank_6055_combined.csv,e2113329088f7bfb24005d84bcc0135f,True,REC-d4cbe0918f53,,False,False
2025-04-28,US Bank Checking,ELECTRONIC DEPOSIT VENMO,Electronic Deposit Venmo,883.65,Transfer,False,False,usbank_6055_combined.csv,b26c05c48037fe661ef7a31f030ea1ef,True,REC-6db0c728c798,,False,False
2025-04-28,US Bank Checking,WEB AUTHORIZED PMT ENBRIDGE GAS OHI,Web Authorized Pmt Enbridge Gas Ohi,-598.53,Misc Income: Ed's Dead,False,False,usbank_6055_combined.csv,a8695d73b695c500740eb2349ec381fb,True,,,False,False
2025-05-02,US Bank Checking,ELECTRONIC WITHDRAWAL KMF,Electronic Withdrawal Kmf,-240.98,Auto & Transport: Car Loan,False,False,usbank_6055_combined.csv,0cf44b17631fb116a51c2290c41dfbff,True,,,False,False
2025-05-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-791.37,Transfer,False,False,usbank_6055_combined.csv,f6b840611b6902063dab251a851fa05e,True,REC-90988206b869,,False,False
2025-05-07,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,612000fc14794a9ca339554126628806,True,,,False,False
2025-05-07,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,088565b1a75d7acc377728ab77b5d3bd,True,,,False,False
2025-05-08,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-925.17,Transfer,False,False,usbank_6055_combined.csv,2b690c7bcbb418e8a95f2138d399afd3,True,REC-19384a1d7877,,False,False
2025-05-15,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,1f82529a1abe91cbe5ebe4f8748caeb1,True,,,False,False
2025-05-19,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,1687.71,Income: Disability,False,False,usbank_6055_combined.csv,b67e29fbdab2138dc984f32736da7b65,True,,,False,False
2025-05-19,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2148.0,Income: Disability,False,False,usbank_6055_combined.csv,978cca3023debf90f4fdf441590051f9,True,,,False,False
2025-05-19,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2148.0,Income: Disability,False,False,usbank_6055_combined.csv,978cca3023debf90f4fdf441590051f9,True,,,False,False
2025-05-20,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-30.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,c473a774c6f424174ec3d5f6f67aaacc,True,,,False,False
2025-05-21,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-2500.0,Income: Investment,False,False,usbank_6055_combined.csv,81e572007946d2a5df678eb35179f44b,True,,,False,False
2025-05-27,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-44.61,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,62a2380be84872a8f8b1bf19ebf47a28,True,,,False,False
2025-05-27,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-384.43,Transfer,False,False,usbank_6055_combined.csv,3a8365d90df5e6e5d9a37af47922a092,True,REC-2fb66415b82e,,False,False
2025-05-27,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,be1d5257c9620c9e37717fab66a2f55c,True,,,False,False
2025-05-27,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,d685c6b26b90b0c93999790e287b48cd,True,,,False,False
2025-05-28,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2148.0,Income: Disability,False,False,usbank_6055_combined.csv,bd542a778272a1c25ef8bcc96821a957,True,,,False,False
2025-06-02,US Bank Checking,ELECTRONIC WITHDRAWAL KMF,Electronic Withdrawal Kmf,-240.98,Auto & Transport: Car Loan,False,False,usbank_6055_combined.csv,634c18f9d914e1084d45be643aa9eb7a,True,,,False,False
2025-06-03,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-5000.0,Income: Investment,False,False,usbank_6055_combined.csv,dfce5d8d9beadef7d1b278dbe6e9bc26,True,,,False,False
2025-06-03,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,b5fbd78be39c6d6607987031a3292220,True,,,False,False
2025-06-03,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,4b424494acf8dbf2f7ea3b419d343189,True,,,False,False
2025-06-05,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,91.17,Income: Paycheck,False,False,usbank_6055_combined.csv,0a9006c3e6cd03463cc3bb4f592b3565,True,,,False,False
2025-06-05,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,77.41,Income: Paycheck,False,False,usbank_6055_combined.csv,944431ba81a75d889803767c6f7e4618,True,,,False,False
2025-06-05,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,63.46,Income: Paycheck,False,False,usbank_6055_combined.csv,c1800b45a1e54413ee68563a0695483a,True,,,False,False
2025-06-05,US Bank Checking,MOBILE CHECK DEPOSIT,Mobile Check Deposit,21.65,Income: Paycheck,False,False,usbank_6055_combined.csv,a4113642f82b6a4cb408858f6a6c2cec,True,,,False,False
2025-06-09,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-577.87,Transfer,False,False,usbank_6055_combined.csv,3ee9b0102fde54e3d0c4adf4edb48f44,True,REC-a9120838321f,,False,False
2025-06-09,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-683.32,Income: Investment,False,False,usbank_6055_combined.csv,decbc0682ffd305b1d27c589af9e61a1,True,,,False,False
2025-06-09,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-1720.72,Transfer,False,False,usbank_6055_combined.csv,ebba69bb293da44919e48d061d74d328,True,REC-1eb07c5eea81,,False,False
2025-06-10,US Bank Checking,ELECTRONIC DEPOSIT Foris USA DAX CF,Electronic Deposit Foris Usa Dax Cf,683.32,NEEDS REVIEW,False,False,usbank_6055_combined.csv,a78ea946b2ed1436ff53de2f6598913f,True,,,False,False
2025-06-10,US Bank Checking,ATM WITHDRAWAL US BANK BURBANK BURBANK     CAUS1 1102,Atm Withdrawal Us Bank Burbank Burbank,-160.0,Cash Spending,False,False,usbank_6055_combined.csv,1b5e9e8054830eca57aafbd6752e935f,True,,,False,False
2025-06-11,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2148.0,Income: Disability,False,False,usbank_6055_combined.csv,e872f2c596bbe34f00f1b033e67f908e,True,,,False,False
2025-06-11,US Bank Checking,WEB AUTHORIZED PMT TARGET CARD SRVC,Web Authorized Pmt Target Card Srvc,-214.38,Transfer,False,False,usbank_6055_combined.csv,70aee8d7b108dd737d314803470ccbf3,True,REC-2e0d7729bb79,,False,False
2025-06-12,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-600.0,Income: Investment,False,False,usbank_6055_combined.csv,be19f85c64eefc5e7b611a963612a395,True,,,False,False
2025-06-13,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-600.0,Income: Investment,False,False,usbank_6055_combined.csv,deacc44a3ed6d9856687d817907ce08f,True,,,False,False
2025-06-16,US Bank Checking,ELECTRONIC DEPOSIT PAYPAL,Electronic Deposit Paypal,406.64,Income: Reimbursement,False,False,usbank_6055_combined.csv,5fea2cd54c857ed0d83c5c452c6e15ec,True,,,False,False
2025-06-16,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,8b0aec083217a8d2f39af702bd7d3329,True,,,False,False
2025-06-17,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-600.0,Income: Investment,False,False,usbank_6055_combined.csv,7500a0a80b66fd0f6e24b58cca9e4c5b,True,,,False,False
2025-06-23,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-1000.0,Income: Investment,False,False,usbank_6055_combined.csv,f901b2240c96e72a6465512c4f3f0418,True,,,False,False
2025-06-25,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2148.0,Income: Disability,False,False,usbank_6055_combined.csv,51c94c417f8b30c0ed0b5064f608df6d,True,,,False,False
2025-06-25,US Bank Checking,REAL TIME PAYMENT FROM MICAH ROSEN-GOLDSTEIN 20250625021000021P1BRJPC07040131677,Real Time Payment From Micah Rosen-Goldstein,683.81,Misc Income: Ed's Dead,False,False,usbank_6055_combined.csv,874c458cbd727fd76387a6b6436a50d2,True,,,False,False
2025-06-25,US Bank Checking,REAL TIME PAYMENT FROM MICAH ROSEN-GOLDSTEIN 20250625021000021P1BRJPC07040121425,Real Time Payment From Micah Rosen-Goldstein,683.81,Misc Income: Ed's Dead,False,False,usbank_6055_combined.csv,7297983795bc33a80d4ec175adca3b1e,True,,,False,False
2025-06-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-261.36,Transfer,False,False,usbank_6055_combined.csv,f2b73f2b77cdc7ab8e1ca6a52ba0af34,True,REC-6f51b4f7ebd5,,False,False
2025-06-26,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,5dd9f3ea0ea3f0441ff690ffabbf276f,True,,,False,False
2025-06-26,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,4727aa5ec315b87efa2d9395113d0f0b,True,,,False,False
2025-06-27,US Bank Checking,ZELLE INSTANT PMT TO Johana Alvarez                USB1iq1nI88R,Zelle Instant Pmt To Johana Alvarez,-100.0,Child-Related: Nanny,False,False,usbank_6055_combined.csv,cc489177d14829b089e94930b1678856,True,,,False,False
2025-06-12,US Bank Checking,WEB AUTHORIZED PMT COINBASE INC.,Web Authorized Pmt Coinbase Inc.,-600.0,Income: Investment,False,False,usbank_6055_combined.csv,be19f85c64eefc5e7b611a963612a395,True,,,False,False
2025-07-02,US Bank Checking,CHECK,Check,-2000.0,Home: Rent,False,False,usbank_6055_combined.csv,0988fc5ff097fc8b2b657b769d060686,True,,,False,False
2025-07-02,US Bank Checking,COUNTER CK FEE,Counter Ck Fee,-2.0,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,fc477cd43a6dfc6dcc9849cf00e59c1b,True,,,False,False
2025-07-07,US Bank Checking,WEB AUTHORIZED PMT AMEX EPAYMENT,Web Authorized Pmt Amex Epayment,-730.67,Transfer,False,False,usbank_6055_combined.csv,73d8e206c31f8deebca4122ed7f509ea,True,REC-cc70abf8f3ec,,False,False
2025-07-08,US Bank Checking,ELECTRONIC WITHDRAWAL WF Credit Card,Electronic Withdrawal Wf Credit Card,-371.57,Transfer,False,False,usbank_6055_combined.csv,1a76c0c6f071bf3d287919f3f9b6a662,True,REC-20dbb3fbc1a6,,False,False
2025-07-11,US Bank Checking,ELECTRONIC DEPOSIT PAYPAL,Electronic Deposit Paypal,250.0,Income: Reimbursement,False,False,usbank_6055_combined.csv,cd8fdc25c26e6e057714bb2672d025cd,True,,,False,False
2025-07-14,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2915.14,Income: Disability,False,False,usbank_6055_combined.csv,1b85bc5baa63201c72fdd482a8c32334,True,,,False,False
2025-07-16,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-214.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,19a75bdd9d640cf096c10537165652ac,True,,,False,False
2025-07-17,US Bank Checking,REAL TIME PAYMENT FROM MICAH ROSEN-GOLDSTEIN 20250717021000021P1BRJPC01440158841,Real Time Payment From Micah Rosen-Goldstein,525.0,Income: 1099,False,False,usbank_6055_combined.csv,24b29f20d56fccc058070f1b8ea5203b,True,,,False,False
2025-07-25,US Bank Checking,ELECTRONIC WITHDRAWAL CHASE CREDIT CRD,Electronic Withdrawal Chase Credit Crd,-246.15,Transfer,False,False,usbank_6055_combined.csv,8a15bfb30b9eb631943683e2af9baa9a,True,REC-15768719e190,,False,False
2025-07-25,US Bank Checking,MONTHLY MAINTENANCE FEE,Monthly Maintenance Fee,-14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,e68373e777ba9983e77fb524fea26ffc,True,,,False,False
2025-07-25,US Bank Checking,MONTHLY MAINTENANCE FEE WAIVED,Monthly Maintenance Fee Waived,14.95,Fees & Subscriptions: Bank Fees,False,False,usbank_6055_combined.csv,0520ba3c09909d96577c6c77168ea40a,True,,,False,False
2025-07-28,US Bank Checking,ELECTRONIC DEPOSIT Money Network,Electronic Deposit Money Network,2148.0,Income: Disability,False,False,usbank_6055_combined.csv,69feffe71aa3f9c0fc049d2bf32bfeea,True,,,False,False
2025-07-28,US Bank Checking,WEB AUTHORIZED PMT VENMO,Web Authorized Pmt Venmo,-60.0,Transfer: Venmo Funding,False,False,usbank_6055_combined.csv,97e5f3b91fe122dcab0b280a250eb457,True,,,False,False
